,CVE_ART,DESCR,PRECIO_UNITARIO,COSTO_UNITARIO
130,TUA00414,"TUB INOX 7/16""ØX26CM 1100W127V BUSH",828.69,0.0
131,CS12J1075A00,"CAS INOX 1/2""ØX5"" 750W127V EXT.30CM",657.58,0.0
132,TUE00329,"TUB INOX 1/4""ØX16CM 700W127V ESPIRAL TAP",1125.0,130.78
133,TUE00330,"TUB INOX 1/4""ØX16CM 700W127V ESPIRAL PLA",1125.0,134.36
134,TUA00143,"TUB 7/16""X46CMS U 1500W 480V. ESPECIAL",913.4,189.47
135,BB2X2ST,"BOQUILLA 2X2""  350W 240V""",462.0,220.0
136,TUA00405,"TUB COBRE 5/16""ØX225MM 2400W115V TAP",2665.3,395.14
137,TUA00406,"TUB INOX 5/16""ØX20CM 2000W 220V ""J"" TAP",1579.6,141.65
138,CBS00001,"CBS 90° 3/4""Øx39.9/16 2600W400V EXT. 55""",1800.18,526.27
139,BN00112,"BN 3""ØX5""ANCHO 1000W 220V CIERRE STD",533.6,0.0
140,RPISTOLA01,PISTOLA DE AIRE 3500W 220V,720.0,96.78
141,TUA00408,"TUB INOX 5/8""ØX150CM 2590W 256V REC/ALET",1877.65,533.27
142,P231B1AF0500,"PT-100 3/16""ØX 1 1/2"" CON 3/8""-A1/2""NPT",972.0,319.99
143,TUE00334,"TUB INOX 5/16""ØX307MM  2100W220V ""M"" CUA",1899.18,0.0
144,TUA00400,"TUB INOX 7/16""ØX210MM 800W127V ""U""  BUSH",1022.5,168.4
145,TUA00415,"TUB INOX 7/16""ØX58CM 8000W240V ""U"" CLAMP",3859.99,0.0
146,TEA00004,"TEA K"" 18mmØx540mm CABEZA MARINA""",1054.0,0.0
147,TUA00082,"TUB ""U"" 8mmØx650mm 10kW 440V 2pz TAPON",2399.01,0.0
148,TUE00098,"TUB INOX 1/4""Øx185MM 900W 120V ""M"" T-90°",1143.25,78.83
149,RC00026,"RC 3/8""ØX175MM 375W125V EXT25CM",568.65,0.0
150,ECQ-01444,"TUBULAR  U"" 1/2""Øx660mm 4500W440V 3pz""",3053.25,0.0
151,TUS00002,"TUB RECTA 1/2""ØX800MMLON 1000W 73V T/TOR",705.5,0.0
152,TP0016,"TERMOPAR CERAMICO T/K"" LONG 24"" CAL 8""",813.1,222.0
153,TP0026,"TERMOPAR K 3/16Ø X 1'  1/2 EXT. 3 MT""",357.85,113.59
154,CBS00099,"CBS INOX 5/8""ØX13"" 1700W 240V EXT.30CM",866.7,153.97
155,TK00062,ELEMENTO K CAL.8X131.6MM CERAM/BLOCK CER,514.25,112.64
156,TP0005,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 3 MT,307.5,87.1
157,CBS00100,"CBS INOX 3/8""ØX90CM 1300W 240V EXT.1MT",1046.11,0.0
158,PK31B1G10000,"TER K 3/16""ØX1 1/2"" EXT.3MT MALLA S/ZAP",300.0,0.0
159,BN00055,BN INOX 111MMØX85MM 1000W127V CIERRE STD,1991.0,182.75
160,CS38M1050A01,"CAS INOX 3/8""ØX7"" 500W 127V EXT1MT",759.17,0.0
161,CS38N1050A01,"CAS INOX 3/8""ØX8"" 500W 127V EXT1MT",788.05,0.0
162,BL00053,BAN M/LUNA 129MMØX99MM 450W440V C/STD TO,420.0,36.92
163,BN00232,BAN INOX 197MMØX152MM 3500W 440V T/TORNI,945.0,299.62
164,BP00246,BAN P COMUN 218MMX85MM 800W440V 2BA T/TO,345.0,31.72
165,BP00247,BAN P COMUN 219MMX275MM 1800W440V 4B/TOR,994.64,155.39
166,BP00248,BAN P COMUN 197MMX31CM 2000W440V 4BA TOR,738.4,145.21
167,BN00115,BAN A/COMUN 263mmØx115mm 2800W 220V STD,1452.18,150.74
168,TUS00052,"TUB INOX 1/4""Øx280mm 200W 120V RECTA ZAP",197.5,17.39
169,TP0010,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 4 MT,336.93,106.55
170,CM12G2075A00,CAM INOX 12.5MMØX100MM 750W 240V EXT30CM,568.26,0.0
171,RP00177,REPARACION DE PLANCHA 4500W 240V ESP,2259.43,0.0
172,TUS00111,"TUB INOX 1/4""ØX50CM 400W127V RECTA T/TOR",447.42,0.0
173,TUE00148,"TUB INOX 5/16""Øx335mm. U 7600W 230V PLAQ",2174.6,0.0
174,TU5/16X230MM,"TUBULAR  J"" 5/16"" 230MM 4500W 220V""",919.0,0.0
175,TP0002,TERMOPAR J3/16 Ø X 1' 1/2 EXT.  1.5 MT,145.0,51.36
176,PT00057,"PT-100 2MMX1"" DESNUDO EXT.113CM SOGUILLA",375.0,98.64
177,PT00082,"PT-100 5/16""ØX40CM CON1/2""NPT EXT10M PLI",2625.5,1214.3
178,TU5/16X203V,"TUBULAR U"" 5/16"" 203MM 1500W 127V""",594.83,0.0
179,TUE00081,"TUB INOX 1/4""Øx355MM 4500W230V ESP/PLAC",2278.45,431.83
180,TP0011,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",408.87,124.0
181,TUA00280,"TUB INOX 1/4""Øx1500mm 3000W 230V BUSHING",1136.53,175.18
182,RP00178,REPARACION DE HORNO 780W 120V MAR-VULCAN,862.07,12.4
183,BO00053,BOB DSD CAL.6 86MMØX713MM U 48KW440V GA,2525.0,0.0
184,P7J6C1D1A030,"AEROPACK J 1/16""ØX2"" T-1/8""ØX11/2"" EXT1M",337.7,36.53
185,TEA00092,"TEA K 1/2""ØX53CM CO/1/2""NPT INOX C/MARIN",1499.3,672.74
186,TEA00093,"TEA K 1/2""ØX130CM CO/1/2""NPT INOX C/MARI",2349.48,1190.42
187,PK14C1D1G300,"TER K 1/4""ØX2"" EXT.1MT RESORT C/MINI MAC",510.0,0.0
188,TT00007,"TER T 3/16""ØX51CMX6CM EXT2MT CON-1/8 90°",813.05,0.0
189,TT00008,"TER T 3/16""ØX127MMX6CM EXT5MT CON-1/8 90",1048.0,0.0
190,TU5/16X203V240W,"TUB INOX 5/16""ØX203MM 1500W 240V U TAP1""",525.0,112.61
191,TEA00023,"TEA K 1/2""Øx1800mm CON1/2-1/2 C/MARINA",8500.0,0.0
192,TP0001,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,119.83,38.96
193,TU5/16X870J127V,"TUB INOX 5/16""ØX800MM 2000W127V ""J"" TBOY",813.0,227.18
194,TEA00096,"TEA K 1/2""ØX18""X24"" ESCUADRA BLOCK/CMARI",2068.5,0.0
195,TUA00025,"TUB ALETADA 5/16""ØX32CM 750W 220 V",1518.0,304.25
196,TP0015,"TERMOPAR CERAMICO T/K"" LONG 18"" CAL 8""",597.06,173.0
197,RP00175,REPARACION SELLADORA PCS300,683.25,29.9
198,TP0016,"TERMOPAR CERAMICO T/K"" LONG 24"" CAL 8""",813.1,222.0
199,TUS00112,"TUB INOX 7/16""ØX80CM 960W 240V RECTA T/T",690.81,0.0
200,TUA00403,"TUB INOX 3/8""ØX33.5CM 6000W480V ""U"" PLAC",1520.0,378.69
201,BB1 1/2X1/2-300W,"BOQUILLA 11/2X1""1/2"" 300W 240V""",385.0,220.0
202,BB1 1/2X1/2-300W,"BOQUILLA 11/2X1""1/2"" 300W 240V""",435.0,0.0
203,TP0025,"TERMOPAR K 3/16Ø  X 1'  1/2 EXT. 2 MT""",206.9,0.0
204,TUE00146,TUB ESP 10MMØX1985MM 1000W 440V BUS/SOPO,1450.0,0.0
205,BE00011,"BAN P INOX 1 1/2""X12"" 240V W-MAX",780.25,37.66
206,BE00012,"BAN P INOX 1 1/2""X14"" 240V W-MAX",799.12,44.54
207,BE00013,"BAN P INOX 1 1/2""X16"" 240V W-MAX",821.89,48.09
208,BE00015,"BAN P INOX 1 1/2""X18"" 240V W-MAX",839.43,51.09
209,BN00243,"BAN INOX 12""ØX 1 1/2"" 1250W 240V C/ALLEN",901.12,141.49
210,BN00244,"BAN INOX 14""ØX 1 1/2"" 1500W240V C/ALLEN",992.0,201.21
211,BN00245,"BAN INOX 16""ØX1 1/2"" 1750W 240V C/ALLEN",1109.22,188.85
212,BN00246,"BAN INOX 20""ØX 11/2"" 2300W 240C C/ALLEN",1112.0,297.2
213,BP00249,"BAN P INOX 7""X1 1/2"" 900W 240V T/TOR",725.1,30.17
214,PJ140FD1A000,"TER J 1/4""X1/2"" EXT1MT TORNILLO LOCO",387.45,54.82
215,TUE00179,"TUB INOX 5/16""Øx197CM 2500W 220V ""M"" ESP",1674.0,0.0
216,RC00025,"RC 5/8""ØX748MM 1100W220V T/TORNILLO",960.0,0.0
217,CS58H1060A00,"CAS INOX 5/8""ØX4"" 600W 127V EXT 30CM",689.92,112.8
218,CS58H1060A00,"CAS INOX 5/8""ØX4"" 600W 127V EXT 30CM",689.92,112.8
219,TU5/16X870J127V,"TUB INOX 5/16""ØX800MM 2000W127V ""J"" TBOY",813.0,0.0
220,CBS00101,CBS INOX 27MMØX180CM 1000W 440V CAJA ESP,3200.0,0.0
221,TUA00427,"TUB INCOL 5/16""ØX355MM 9000W240V J T/BOI",3105.0,0.0
222,TEA00006,"TEA J"" 3/16""Øx22MM EXT2MT BAY2GIR/ADAPT",355.0,101.99
223,TEE00017,"ELEM K CAL. 8 x12"" C/FUNDA CERAMICA",2218.27,0.0
224,CS12J2025A00,"CAS INOX 1/2""X5"" 250W 240V EXT30CM",650.32,0.0
225,TUE00207,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0,1179.22
226,TUE00207,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0,1179.22
227,TUE00207,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0,1179.22
228,TUE00207,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0,1179.22
229,TUE00207,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0,1179.22
230,TUE00332,"TUB INOX 1/2""ØX2018MM 4000W 250V ESP/BUS",598.0,338.28
231,TP0009,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 6 MT,445.0,160.14
232,TP0010,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 4 MT,303.45,106.55
233,TP0040,TERMOPAR J 3/16 Ø X 1' 1/2 EXT.  5 MT,369.25,137.48
234,TEA00006,"TEA J"" 3/16""Øx22MM EXT2MT BAY2GIR/ADAPT",355.0,119.05
235,CBS00056,CART INOX 11.43mmØx450mm 300W 48V CABLE,681.75,0.0
236,70001694,CARTUCHO Ø 8 MM X340 MM 500W 220 V,407.0,127.62
237,70001698,CARTUCHO ESC.Ø 8MM X 325 MM 500W 220V,488.0,120.29
238,70001692,CARTUCHO Ø8MM X 260MM 500W 220V,543.0,113.69
239,70001690,CARTUCHO Ø 8 MM X 500 MM 500 W 220 V,509.0,161.1
240,70001684,CARTUCHO Ø 10 MM X 460 MM 500W 220V,1365.0,131.71
241,P214F1AB0600,"PT-100 1/4""ØX4"" CON1/2""-1/2"" NPT C/MARIN",1015.0,0.0
242,CS12F1040A00,"CAS INOX 1/2""ØX3"" 400W 127V EXT.30CM",562.32,88.95
243,TUE00339,"TUB INOX 1/4""ØX135MM 700W127V ESPIRAL 4V",1125.0,7342.41
244,BP00206,BAN P INOX 250MMX290MM 2000W 220V EXT2MT,1485.0,0.0
245,ECQ-00972,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V""",1475.3,339.43
246,TUE00075,"TUB INOX 5/16""ØX700MM 780W 220V ""M"" ESPE",625.2,29.29
247,CS12G1040A00,"CAS INOX 1/2""ØX3 1/2"" 400W 127V EXT.30CM",565.4,90.42
248,TUS00113,"TUB INOX 1/4""ØX80CM 800W127V RECTA T/ZAP",498.77,0.0
249,TUE00176,"TUB INOX 5/16""ØX1550MM ""CLIP"" 7000W 220V",2508.7,0.0
250,PJ14F1L1A800,"TER J 1/4""ØX4"" CON1/2""-1/2"" NPT EXT.8MT",1028.35,0.0
251,TUE00132,"TUB INOX 1/2""Øx410mm J 11KW 240V PLAQUIT",1265.2,0.0
252,TUS00005,"TUB INOX716Øx1421mm LONG ""M"" 3000W/220V""",799.1,0.0
253,TUE00338,"TUB INOX 3/8""ØX158MM 2000W 127V CIRCULAR",1156.5,0.0
254,TUE00337,"TUB INOX 5/16""ØX42CM 3650W280V ESP/PLAC",992.25,173.44
